id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,scheduled_service,gps_code,iata_code,score
3324,VI43,small_airport,Suratgarh New Airport,29.38780022,73.90390015,554,IN-RJ,,0,VI43,,46
3329,VI69,small_airport,Jhunjhunu Airport,28.1067009,75.37560272,1110,IN-RJ,,0,VI69,,46
3330,VI70,small_airport,Pilani New Airport,28.34880066,75.59369659,1100,IN-RJ,,0,VI70,,46
3332,VI73,small_airport,Nagaur Airport,27.20829964,73.71140289,950,IN-RJ,,0,VI73,,46
3338,VO26,small_airport,Kovilpatti Airport,9.153889656,77.82119751,325,IN-TN,,0,VO26,,46
3344,VO95,small_airport,Hosur Airport,12.66129971,77.76719666,3116,IN-TN,,0,VO95,,46
26601,VOAR,small_airport,Arkonam Airport,13.07120037,79.69120026,265,IN-TN,,0,VOAR,,46
30005,VEKM,small_airport,Kamalpur Airport,24.13170052,91.81420135,131,IN-TR,,0,VEKM,IXQ,46
3285,VA1D,small_airport,Muirpur Airport,24.12520027,83.04060364,1122,IN-UP,,0,VA1D,,46
3298,VA2B,small_airport,Meerut Sw Airport,28.9048996,77.6772995,732,IN-UP,,0,VA2B,,46
3335,VI82,small_airport,Bharkot Airport,30.58289909,78.3234024,2983,IN-UP,,0,VI82,,46
3337,VI90,small_airport,Akbarpur Airport,26.44759941,82.56819916,288,IN-UP,,0,VI90,,46
26553,VIDF,small_airport,Pithorgarh Airport,29.59359932,80.23919678,4910,IN-UP,,0,VIDF,,46
26556,VIDX,small_airport,Hindon Air Force Station,28.70770073,77.35890198,700,IN-UP,,0,VIDX,,46
26561,VIJN,small_airport,Jhansi Airport,25.49119949,78.55840302,801,IN-UP,,0,VIJN,,46
26577,VISP,small_airport,Sarsawa Air Force Station,29.9939003,77.4253006,891,IN-UP,,0,VISP,,46
3307,VE23,small_airport,Burnpur Airport,23.63150024,86.97550201,310,IN-WB,,0,VE23,,46
26542,VIAX,small_airport,Adampur Airport,31.4338,75.758797,775,IN-PB,Adampur,1,VIAX,AIP,46
26510,VELP,medium_airport,Lengpui Airport,23.84059906,92.61969757,1398,IN-MZ,Aizawl,1,VELP,AJL,46
32206,VEBG,small_airport,Balurghat Airport,25.26169968,88.79560089,78,IN-WB,Balurghat,0,VEBG,RGH,46
3309,VEPI,small_airport,Barrackpore Air Force Station,22.78100014,88.35919952,18,IN-WB,Barrackpore,0,VEPI,,46
29689,VEBA,small_airport,Behala Airport,22.5042305,88.29342651,10,IN-WB,Behala,0,VEBA,,46
26630,VOTX,small_airport,Tambaram Air Force Station,12.90719986,80.12190247,90,IN-TN,Chennai,0,VOTX,,46
26495,VECA,small_airport,Chabua Air Force Station,27.46220016,95.11769867,367,IN-AS,Dibrugarh,0,VECA,,46
32589,VODK,closed,Dunakonda Airport,15.8063,79.4882,472,IN-AP,Dunakonda,0,VODK,,46
31698,IN-JGB,small_airport,Jagdalpur Airport,19.07430077,82.03679657,1822,IN-CT,Jagdalpur,0,,JGB,46
32183,VEJP,small_airport,Jeypore Airport,18.87999916,82.55200195,1952,IN-OR,Jeypore,0,VEJP,PYB,46
3333,VI75,small_airport,IIT Kanpur Airport,26.520399,80.232904,400,IN-UP,Kalyanpur,0,,,46
31691,VEKW,small_airport,Khowai Airport,24.061899,91.603897,95,IN-TR,Khowai,0,VEKW,IXN,46
32576,VILP,small_airport,Lalitpur Airport,24.71699905,78.41699982,1204,IN-UP,Lalitpur,0,VILP,,46
3341,VO55,medium_airport,Murod Kond Airport,18.411501,76.464699,2136,IN-MM,Latur,1,VALT,LTU,46
26544,VIBL,small_airport,Bakshi Ka Talab Air Force Station,26.98830032,80.89309692,385,IN-UP,Lucknow,0,VIBL,,46
31799,VEMH,small_airport,Malda Airport,25.033001,88.133003,79,IN-WB,Malda,0,VEMH,LDA,46
31996,VOMY,small_airport,Mysore Airport,12.23,76.655833,2349,IN-KA,Mysore,0,VOMY,MYQ,46
30180,VAND,medium_airport,Nanded Airport,19.18330002,77.3167038,1250,IN-MM,Nanded,1,VAND,NDC,46
26515,VENP,small_airport,Nawapara Airport,20.87000084,82.51959991,1058,IN-CT,Nawapara,0,VENP,,46
42723,IN-NVY,small_airport,Neyveli Airport,11.61295605,79.5273819,184,IN-TN,Neyveli,0,VONV,NVY,46
31692,VEPG,small_airport,Pasighat Airport,28.06609917,95.33560181,477,IN-AR,Pasighat,0,VEPG,IXT,46
32215,IN-RJI,small_airport,Rajouri Airport,33.37789917,74.31520081,3000,IN-JK,Rajouri,0,,RJI,46
32591,VORM,small_airport,Ramnad Naval Air Station,9.325090408,78.97149658,16,IN-TN,Ramnad,0,VORM,,46
26503,VEHK,small_airport,Hirakud Airport,21.5802002,84.00569916,658,IN-OR,Sambalpur,0,VEHK,,46
26460,VASL,medium_airport,Solapur Airport,17.62800026,75.93479919,1584,IN-MM,Solapur,0,VASL,SSE,46
32433,IN-TEI,small_airport,Tezu Airport,27.94120026,96.13439941,800,IN-AR,Tezu,0,VETJ,TEI,46
26626,VOTJ,small_airport,Tanjore Air Force Base,10.72239971,79.10160065,253,IN-TN,Thanjavur,0,VOTJ,TJV,46
3342,VO80,small_airport,Tuticorin Airport,8.724241,78.025803,129,IN-TN,Thoothukudi,1,VOTK,TCR,46
